#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD0D17
#Date Time: 2025-10-15 17:25:03.300
#Sample rate: 5e+07Hz
#Samples: 4096

DateTime,DIO 1,DIO 2,SPI,DIO  3
2025-10-15 17:25:03.299.977.460,0,1,X,1
2025-10-15 17:25:03.299.977.480,0,1,X,1
2025-10-15 17:25:03.299.977.500,0,1,X,1
2025-10-15 17:25:03.299.977.520,0,1,X,1
2025-10-15 17:25:03.299.977.540,0,1,X,1
2025-10-15 17:25:03.299.977.560,0,1,X,1
2025-10-15 17:25:03.299.977.580,0,1,X,1
2025-10-15 17:25:03.299.977.600,0,1,X,1
2025-10-15 17:25:03.299.977.620,0,1,X,1
2025-10-15 17:25:03.299.977.640,0,1,X,1
2025-10-15 17:25:03.299.977.660,0,1,X,1
2025-10-15 17:25:03.299.977.680,0,1,X,1
2025-10-15 17:25:03.299.977.700,0,1,X,1
2025-10-15 17:25:03.299.977.720,0,1,X,1
2025-10-15 17:25:03.299.977.740,0,1,X,1
2025-10-15 17:25:03.299.977.760,0,1,X,1
2025-10-15 17:25:03.299.977.780,0,1,X,1
2025-10-15 17:25:03.299.977.800,0,1,X,1
2025-10-15 17:25:03.299.977.820,0,1,X,1
2025-10-15 17:25:03.299.977.840,0,1,X,1
2025-10-15 17:25:03.299.977.860,0,1,X,1
2025-10-15 17:25:03.299.977.880,0,1,X,1
2025-10-15 17:25:03.299.977.900,0,1,X,1
2025-10-15 17:25:03.299.977.920,0,1,X,1
2025-10-15 17:25:03.299.977.940,0,1,X,1
2025-10-15 17:25:03.299.977.960,0,1,X,1
2025-10-15 17:25:03.299.977.980,0,1,X,1
2025-10-15 17:25:03.299.978.000,0,1,X,1
2025-10-15 17:25:03.299.978.020,0,1,X,1
2025-10-15 17:25:03.299.978.040,0,1,X,1
2025-10-15 17:25:03.299.978.060,0,1,X,1
2025-10-15 17:25:03.299.978.080,0,1,X,1
2025-10-15 17:25:03.299.978.100,0,1,X,1
2025-10-15 17:25:03.299.978.120,0,1,X,1
2025-10-15 17:25:03.299.978.140,0,1,X,1
2025-10-15 17:25:03.299.978.160,0,1,X,1
2025-10-15 17:25:03.299.978.180,0,1,X,1
2025-10-15 17:25:03.299.978.200,0,1,X,1
2025-10-15 17:25:03.299.978.220,0,1,X,1
2025-10-15 17:25:03.299.978.240,0,1,X,1
2025-10-15 17:25:03.299.978.260,0,1,X,1
2025-10-15 17:25:03.299.978.280,0,1,X,1
2025-10-15 17:25:03.299.978.300,0,1,X,1
2025-10-15 17:25:03.299.978.320,0,1,X,1
2025-10-15 17:25:03.299.978.340,0,1,X,1
2025-10-15 17:25:03.299.978.360,0,1,X,1
2025-10-15 17:25:03.299.978.380,0,1,X,1
